job_title,job_link,company,company_rating,company_reviews,job_desc,apply_link
Data Scientist Middle to Senior Level,https://id.indeed.com/lihat-lowongan-kerja?cmp=PT.-Orang-Informasi-Teknologi&t=Data+Scientist+Middle+Senior+Level&jk=fd71f257674eea94&vjs=3,,,,"PT. Orang Informasi Teknologi are currently looking for a Data Scientist Middle to Senior Level. Requirements: Have at least 2-years of experience in a related field Bachelor degree in a IT related discipline or equivalent experience Good computer skills and the ability to use business support software. Math & Statistics Programming Languages (Python, R, SAS, Matlab, SQL, PQL, Hive, Scala) Business Story-telling and Data Visualization Distributed Computing Frameworks Machine Learning Skills Details: Start: ASAP Duration: 60 days (20 days a month) Location: Jakarta, Indonesia By joining our company, you will gain unique experiences and work for global brands. If you or somebody else you know is interested in this role, please apply with an updated CV in Word format. Contract length: 60 days Job Types: Full-time, Contract Salary: Up to Rp900,000 per day Work Remotely: Temporarily due to COVID-19",
Data Scientist,https://id.indeed.com/lihat-lowongan-kerja?cmp=Alentra-Rekrut&t=Data+Scientist&jk=e2139988324458fd&vjs=3,,,,"Data Scientist 1. Bachelor degree from Math/Scientist 2. Solid knowledge and understanding of data modelling and data visualization 3. Solid knowledge and understanding of statistical modelling and ML implementation 4. Experience in delivering deep learning solution 5. Hands on experience with python / R language Solid understanding of SQL, NoSQL and the performance costs associate with queries 6. Has Laptop Job Type: Full-time Salary: Rp7,500,000 - Rp10,000,000 per month Education: S1 (Preferred) Experience: Data Scientist: 1 year (Required) Work Remotely: Temporarily due to COVID-19",
Senior Data Scientist,https://id.indeed.com/viewjob?jk=e9eb4ba9b2084c10&from=serp&vjs=3,Tokopedia,4.1,17,"Job Description: Perform tasks such as data exploration, cleaning, and feature engineering Perform research into state-of-the-art algorithms from research papers with guidance from lead data scientists Implement data science algorithms from research papers with guidance from lead data scientists Development of APIs from data science models Collaborate with team members from data science and other teams to develop data science solutions Requirements: Bachelors in Math, Statistics, Computer science, or Engineering 2+ years experience in a data science role Hands-on experience with machine learning model development in python Experience and deep understanding understanding of: SQL Python programming Machine learning models such as random forests, gradient-boosted trees, or neural networks Knowledge and experience in at least one of the following areas: Natural Language Processing Computer Vision - Information Retrieval - Search & Recommendations Fraud detection Time-series analysis and modeling Collaborative team player Intellectually curious and always learning",https://id.indeed.com/rc/clk?jk=e9eb4ba9b2084c10&from=vj&pos=bottom&mvj=0&sjdu=KshGXdivklaLCCsilSmPN4DDplm6SwWjHcxyoDIphKlYT1uXVZIKD63Ff3lspvXZkN0wkll9wDHc3mnStM4Hmg&astse=de3ea8e754263148&assa=5795&vjfrom=serp
Junior Data Scientist,https://id.indeed.com/lihat-lowongan-kerja?cmp=IlmuOne-Data&t=Junior+Data+Scientist&jk=2bce2d0b29fb61a9&vjs=3,,,,"Work Responsibilities: 1. Assist in methodology research, data processing, and documentation to conduct independent self-guided exploration of research and frame open-ended industry questions, including, but not limited to: Conducts statistical analyses to develop strategies, Builds predictive models and machine-learning algorithms, Identifies data patterns and trends, Proposes solutions and strategies to business challenges, Presents information using data visualization techniques, and Documents all processes and research. 2. Discover new opportunities to optimize the business through machine learning and/or statistical modeling. 3. Assist in the design and development of analytical projects designed to understand key business behaviors that drive customer acquisition, retention, and engagement through machine learning and/or statistical modeling. 4. Assist in the implementation of client’s analytics solutions with internal Project Coordinator. Develop and maintain client analytics reports. Leadership Responsibilities: Commits to personal learning and growth. A drive to learn and master new technologies and techniques. Qualifications and Requirements: Tangibles 1-2 years of professional experience in Data Science fields. Mandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets. Intermediate Mathematical, Statistical, and/or Machine Learning skills required, and their real-world advantages/drawbacks. Knowledge and/or experience in working with structured and/or unstructured data sets. Knowledge and/or experience in Data Architecture and Engineering is a plus, especially Google Cloud Platform. Familiar with Data Visualization Tools, Google Data Studio is a plus. Character Problem-solving skills, structured thinking, and scientific approach required. Ability to work with minimal supervision and keep supervisors informed. Ability to work well in a team environment. Ability to communicate in clear and concise terms. Willing to learn new skills and able to do so independently. Ability to take initiative. Job Types: Full-time, Contract, Permanent Salary: Rp5,000,000 - Rp10,000,000 per month Application Question(s): Do you have experience using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets? Experience: professional Data Science: 1 year (Required) Work Remotely: Temporarily due to COVID-19",
Data Scientist,https://id.indeed.com/viewjob?jk=b98383db6becf81c&from=serp&vjs=3,Tokopedia,4.1,17,"Description: Perform tasks such as data exploration, cleaning, and feature engineering Perform research into state-of-the-art algorithms from research papers with guidance from lead data scientists Implement data science algorithms from research papers with guidance from lead data scientists Development of APIs from data science models Collaborate with team members from data science and other teams to develop data science solutions Requirements: Bachelors in Math, Statistics, Computer science, or Engineering Exposure to data science through relevant projects, courses, or competitions Hands-on experience: Python - Pandas, Numpy, Scikit learn SQL Machine learning models such as random forests, gradient boosted trees, or neural networks Knowledge at least one of the following areas is a plus: Natural Language Processing, Computer Vision Information Retrieval - Search & Recommendations Fraud detection Time-series analysis and modeling Cloud computing for ML Collaborative team player Intellectually curious and always learning",https://id.indeed.com/rc/clk?jk=b98383db6becf81c&from=vj&pos=bottom&mvj=0&sjdu=KshGXdivklaLCCsilSmPN4DDplm6SwWjHcxyoDIphKmRo6mDmCnsoAX7Zm7GUh46kN0wkll9wDHc3mnStM4Hmg&astse=10e1eafb4d397289&assa=7181&vjfrom=serp
SYSTEM ANALYST / SENIOR DATA SCIENTIST,https://id.indeed.com/viewjob?jk=e75543a0a34bbac7&from=serp&vjs=3,,,,"Minimum Bachelor’s degree quantitative field, e.g. Computer Science, Math, Physics.  Outstanding problem-solving skills and analytical thinking.  Familiar with data structures and algorithms, Python or R language, SQL based database, and Hadoop framework.  Familiar with a statistics or machine learning.  Good in data visualizations and communications.  An ability and eagerness to constantly learn and teach others.  Have a passion with big data science.",
Data Scientist,https://id.indeed.com/lihat-lowongan-kerja?cmp=Dnalytics&t=Data+Scientist&jk=5448e678166638cf&vjs=3,,,,"We are looking  Energetic Candidate with : Bachelor of Engineering (Computer / Telecommunication), Computer Science / Information Technology, Mathematics, Statistics or equivalent. Have at least 1 year of experience in the appropriate field for this position (Fresh Graduates are welcome). Mastering Python and R. Understand Machine Learning well. Understand the concept of Data Mining well. Good Team work with the team. Can translate and understand scientific papers or jurals. Able to work under pressure. Have good communication skills (oral and written) Able to speak English well (oral and written). Have the ability to solve problems. Honest, responsible and have a good work ethic. The roles and responsibilities for this position are: Presentation Skill of technology products related to data (Data Warehouse, Data Analytics, and Data Visualization) Responsible to Create reports and documentation of customer case analysis Capable to do data retrieval and pre-processing from various sources Understand how to make business case analysis and how to utilize enterprise level data for business insight and give value for the company and for the client. Develop business and machine-learning model from data owned by the company and / or client. Job Types: Full-time, Contract Work Remotely: Temporarily due to COVID-19",
DATA SCIENTIST,https://id.indeed.com/viewjob?jk=215bed9b8f019c76&from=serp&vjs=3,,,,"Let’s get to know you!  1.Have minimum 1 year(s) experience in Data Science, Data Analytics, Business Analytics, or related field working with Data.  2.We are an advocate of training each other, if you’re a fresh graduate from Engineering (Computer/Telecommunication), Computer Science/Information Technology, Statistics major or looking for a career change; feel free to apply with us. Diversity is a key value to us. 3.Strong experience in Python, R and SQL, PySpark, Graph, etc. and Big Data platforms such as Cloudera or GCP.  4. Willing to be located in Bandung.",https://id.indeed.com/rc/clk?jk=215bed9b8f019c76&from=vj&pos=bottom&mvj=0&sjdu=KshGXdivklaLCCsilSmPN4DDplm6SwWjHcxyoDIphKn0MLxw91EJ2-zeIGt3qmOckN0wkll9wDHc3mnStM4Hmg&astse=2ab865d330b31b36&assa=1113&vjfrom=serp
Data Scientist Intern,https://id.indeed.com/viewjob?jk=00667da6a35e0ffb&from=serp&vjs=3,,,,"Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. Our mission is to empower businesses and professionals to progress effortlessly. Our products (Talenta, Sleekr, Jurnal, KlikPajak) have been used by tens of thousands of business in Indonesia.  To reach millions, we need more people like you: entrepreneurs, builders, owners inside the company who are eager to grow at scale. Join us to empower more businesses with technology.  Job Desriptions:   Conduct data analysis using SQL and Python  Collaborate with multiple divisions to provide statistics or business data that can help to drive business insights  Interpreting data and analyzing results using statistical techniques  Integrate data from multiple sources to data platform  Build user friendly dashboards that drive business insights  Communicate with multiple divisions regarding their needs for data to support data-driven initiatives  Consulting with internal customers (e.g. Operation, Commercial, Product, etc) to develop analyses that lead to actionable insights   Requirements/Qualifications:   Bachelor's Degree in a quantitative discipline such as Computer Science, Engineering, Statistics, or Mathematics  Experienced with SQL and Python programming  Strong verbal and written communication skills, as well as problem-solving skills  Having curiosity for data discovery  Ability to implement verbal and visual storytelling with data  Ability to think strategically and creatively  Experienced with Machine Learning is a plus   What You Will Get:   Competitive salary + daily allowance  Strategic office location, accessible by MRT  Flexible working hours and remote work culture  Friendly and dynamic work environment  Opportunity to take part in growing Indonesia's no. 1 SaaS company",
Data Scientist,https://id.indeed.com/viewjob?jk=03120197fc486008&from=serp&vjs=3,,,,"Background Impact Credit Solutions (“ICS”) is a financial technology Company that enables small business lending in Southeast Asia. We combine deep expertise in alternative lending with best-in-class technology solutions to bridge international capital markets with underserved communities in Southeast Asia. Website: https://impactcredit.solutions/ Role The Company is recruiting for the Data Scientist role to join our Data Science & Risk Analytics Team (exact job title commensurate with experience), to help accelerate the Company’s innovation and data-driven strategy including data management, predictive analytics, machine learning and intelligent automation. Designed as a career accelerator to foster the next generation of leading talent, our Company provides the framework to develop world-class technical skills and gain a comprehensive understanding of credit, model development and technology, from application and data development to advanced analytics and beyond. You will work at all passes of data science life cycle, including : Build machine learning models through all phases of development, from design through training, evaluation and validation, and partner with engineering teams to improve operationalization in scalable and resilient production systems to serve millions of customers. Partner closely with a variety of business and product teams to conduct the experiments that guide improvements to customer experiences and business outcomes in domains like credit risk, marketing, servicing and fraud prevention. Write software (R, Python, Scala, e.g.) to collect, explore, visualize and analyze numerical and textual data (customer transactions, payments, etc.) using tools like Spark, Elasticsearch, and AWS. The ideal candidate will be: Curious and creative: You thrive on bringing definition to big, undefined problems. You love asking questions, and you love pushing hard to find the answers. You are not afraid to share a new idea. You communicate clearly and effectively to share your findings with non-technical audiences. Technical: You have hands-on experience developing data science solutions from concept to production using open-source tools and modern cloud computing platforms. You are not afraid of petabytes of data. Statistically minded: You have built models, validated them and back tested them. You know how to interpret a confusion matrix or a ROC curve. You have experience with clustering, classification, sentiment analysis, time series analysis and deep learning. Customer and product oriented: You share our passion for changing banking for good. Basic Qualifications Bachelor’s Degree and some experience in data analytics Some experience in open-source programming languages for data analysis Experience with machine learning Experience with relational databases Able to speak English and Bahasa Indonesia fluently Preferred Qualifications PhD or Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) Experience working with big data, cloud computing Experience in Python, Scala, or R Experience with developing credit models / model development lifecycle Experience with SQL  Benefits Challenging role in a startup environment with strong growth ambitions Meaningful work toward the Company’s social impact mission and vision Competitive compensation and benefits At ICS, we are committed to diversity and equitable access to employment opportunities based on ability. Interested candidates can send their applications to careers@impactcredit.solutions. We thank all applicants for their interest but will only contact candidates selected to advance in the hiring process.   PhxlqjGcfP",https://id.indeed.com/rc/clk?jk=03120197fc486008&from=vj&pos=bottom&mvj=0&sjdu=KshGXdivklaLCCsilSmPN4DDplm6SwWjHcxyoDIphKkNHGE9abq9WbGpprUJQgBokN0wkll9wDHc3mnStM4Hmg&astse=6f64045719489b0b&assa=3019&vjfrom=serp
